model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
HouseConstruction-PT-500_LTLF_6_F_,ufscc,64,spotba,9002,1.080,2016-07-15.01:00:16,0,461503,1560039,463359,1564670,1,0,0,463359,463359,2,-1
HouseConstruction-PT-500_LTLF_8_F_,ufscc,64,spotba,9002,1.100,2016-07-15.01:00:18,145036,453003,1375957,461415,1404145,1,69821,0,461415,314244,3,-1
HouseConstruction-PT-500_LTLF_9_F_,ufscc,64,spotba,9002,1.090,2016-07-15.01:00:21,0,432477,1497441,433810,1501506,1,0,0,433810,433810,2,-1
Kanban-PT-0500_LTLS_0_F_,ufscc,64,spotba,527,0.580,2016-07-15.01:00:27,0,21001,102966,21844,105970,0,0,9305,21841,21831,2,-1
Kanban-PT-0500_LTLS_1_F_,ufscc,64,spotba,524,0.620,2016-07-15.01:00:29,0,25163,122813,26288,126679,0,0,12362,26288,26287,2,-1
Kanban-PT-0500_LTLS_2_F_,ufscc,64,spotba,508,0.610,2016-07-15.01:00:31,0,22945,109028,23774,111848,0,0,9057,23774,23773,2,-1
Kanban-PT-0500_LTLS_3_F_,ufscc,64,spotba,517,0.610,2016-07-15.01:00:33,0,21421,106996,22263,109790,0,0,9955,22263,22258,2,-1
Kanban-PT-0500_LTLS_4_F_,ufscc,64,spotba,519,0.580,2016-07-15.01:00:35,0,22575,108136,23469,111119,0,0,9608,23469,23462,2,-1
Kanban-PT-1000_LTLF_10_F_,ufscc,64,spotba,1021,0.620,2016-07-15.01:00:38,0,41978,205950,42998,209314,0,0,17406,42996,42990,5,-1
Kanban-PT-1000_LTLF_6_F_,ufscc,64,spotba,1008,0.600,2016-07-15.01:00:40,0,48678,238094,49944,242500,0,0,22385,49944,49934,6,-1
Kanban-PT-1000_LTLS_0_F_,ufscc,64,spotba,1021,0.580,2016-07-15.01:00:43,0,48274,227089,49519,231162,0,0,18578,49519,49499,2,-1
Kanban-PT-1000_LTLS_1_F_,ufscc,64,spotba,1024,0.690,2016-07-15.01:00:45,0,49828,236209,50710,239072,0,0,16197,50700,50700,2,-1
Kanban-PT-1000_LTLS_2_F_,ufscc,64,spotba,1016,0.590,2016-07-15.01:00:48,0,34303,167857,35481,171806,0,0,16829,35481,35481,2,-1
PhaseVariation-PT-D05CS100_LTLF_0_F_,ufscc,64,spotba,107,1.490,2016-07-15.01:01:49,277,4908,321779,5083,328713,1,75,0,5083,4806,2,-1
PhaseVariation-PT-D05CS100_LTLF_10_F_,ufscc,64,spotba,102,1.580,2016-07-15.01:01:55,29,5366,367903,5557,372875,1,94,0,5557,5519,4,-1
PhaseVariation-PT-D05CS100_LTLF_11_F_,ufscc,64,spotba,127,1.460,2016-07-15.01:02:03,0,5081,343720,5299,349620,1,0,0,5299,5299,2,-1
PhaseVariation-PT-D05CS100_LTLF_13_F_,ufscc,64,spotba,127,1.510,2016-07-15.01:02:10,189,5755,399401,5920,403725,1,17,0,5920,5731,1,-1
PhaseVariation-PT-D05CS100_LTLF_14_F_,ufscc,64,spotba,102,1.520,2016-07-15.01:02:17,0,4852,339505,5049,344651,1,0,0,5049,5049,3,-1
PhaseVariation-PT-D05CS100_LTLF_15_F_,ufscc,64,spotba,102,1.310,2016-07-15.01:02:24,1,2428,150574,2615,155504,1,8,0,2615,2613,3,-1
PhaseVariation-PT-D05CS100_LTLF_1_F_,ufscc,64,spotba,118,1.540,2016-07-15.01:02:31,0,5360,374419,5523,378729,1,0,0,5523,5523,2,-1
PhaseVariation-PT-D05CS100_LTLF_2_F_,ufscc,64,spotba,102,1.500,2016-07-15.01:02:38,171,5335,363498,5479,369610,1,2,0,5479,5308,2,-1
PhaseVariation-PT-D05CS100_LTLF_3_F_,ufscc,64,spotba,102,1.590,2016-07-15.01:02:44,144,4926,342831,5024,348111,1,0,0,5024,4880,4,-1
PhaseVariation-PT-D05CS100_LTLF_4_F_,ufscc,64,spotba,102,1.540,2016-07-15.01:02:52,211,5592,368265,5741,374823,2,14,0,5741,5530,2,-1
PhaseVariation-PT-D05CS100_LTLF_5_F_,ufscc,64,spotba,102,1.520,2016-07-15.01:02:59,0,5317,361516,5518,366834,1,0,0,5518,5518,2,-1
PhaseVariation-PT-D05CS100_LTLF_6_F_,ufscc,64,spotba,102,1.490,2016-07-15.01:03:06,0,5100,355474,5327,361410,1,0,0,5327,5327,2,-1
PhaseVariation-PT-D05CS100_LTLF_7_F_,ufscc,64,spotba,127,1.480,2016-07-15.01:03:14,172,5490,366725,5660,371267,1,9,0,5660,5488,1,-1
PhaseVariation-PT-D05CS100_LTLF_8_F_,ufscc,64,spotba,127,1.500,2016-07-15.01:03:21,241,3894,247611,4060,254085,1,45,0,4060,3817,2,-1
PhaseVariation-PT-D05CS100_LTLF_9_F_,ufscc,64,spotba,107,1.500,2016-07-15.01:03:28,164,5119,331165,5354,337649,1,8,0,5354,5190,1,-1
PhaseVariation-PT-D05CS100_LTLS_0_F_,ufscc,64,spotba,122,1.490,2016-07-15.01:03:35,319,4940,320052,5140,325340,1,56,0,5140,4821,1,-1
PhaseVariation-PT-D05CS100_LTLS_10_F_,ufscc,64,spotba,107,1.470,2016-07-15.01:03:42,211,5340,351570,5529,356344,1,41,0,5529,5319,1,-1
PhaseVariation-PT-D05CS100_LTLS_11_F_,ufscc,64,spotba,102,1.470,2016-07-15.01:03:49,312,4776,307578,4939,311854,1,32,0,4939,4627,1,-1
PhaseVariation-PT-D05CS100_LTLS_12_F_,ufscc,64,spotba,102,1.480,2016-07-15.01:03:56,341,4900,308255,5079,312957,1,57,0,5079,4737,1,-1
PhaseVariation-PT-D05CS100_LTLS_13_F_,ufscc,64,spotba,103,1.520,2016-07-15.01:04:02,74,4987,342590,5170,347532,1,0,0,5170,5096,1,-1
PhaseVariation-PT-D05CS100_LTLS_14_F_,ufscc,64,spotba,102,1.540,2016-07-15.01:04:09,251,5491,359842,5657,364380,1,31,0,5657,5406,1,-1
PhaseVariation-PT-D05CS100_LTLS_15_F_,ufscc,64,spotba,127,1.520,2016-07-15.01:04:15,211,5488,366840,5662,371550,2,9,0,5662,5451,1,-1
PhaseVariation-PT-D05CS100_LTLS_1_F_,ufscc,64,spotba,103,1.490,2016-07-15.01:04:22,94,4723,325039,4888,329389,1,12,0,4888,4794,2,-1
