model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
leader_filters.7_F_01,ufscc,64,spotba,18,0.240,2016-07-14.14:26:30,0,606,2699,771,3743,2,0,0,771,771,2,-1
mcs.1_F_01,ufscc,64,spotba,8,0.080,2016-07-14.14:26:32,0,100,312,423,1345,0,0,2,423,423,2,-1
mcs.1_F_02,ufscc,64,spotba,9,0.090,2016-07-14.14:26:34,22,155,443,440,1452,0,20,7,440,413,2,-1
mcs.1_F_05,ufscc,64,spotba,8,0.060,2016-07-14.14:26:37,0,59,177,224,736,0,0,1,224,224,2,-1
mcs.2_F_02,ufscc,64,spotba,9,0.090,2016-07-14.14:26:41,3,117,387,430,1489,0,3,3,430,419,2,-1
mcs.2_F_05,ufscc,64,spotba,9,0.100,2016-07-14.14:26:45,24,238,620,551,1618,1,16,1,551,534,2,-1
mcs.2_F_06,ufscc,64,spotba,22,0.140,2016-07-14.14:26:48,271,390,749,1894,4642,1,849,0,1894,817,2,-1
mcs.3_F_01,ufscc,64,spotba,8,0.110,2016-07-14.14:26:51,0,180,743,454,1925,0,0,1,454,454,2,-1
mcs.3_F_02,ufscc,64,spotba,9,0.110,2016-07-14.14:26:53,25,234,905,536,2247,0,7,5,536,501,2,-1
mcs.3_F_05,ufscc,64,spotba,8,0.100,2016-07-14.14:26:56,0,191,763,466,1926,0,0,1,466,466,2,-1
mcs.4_F_01,ufscc,64,spotba,8,0.150,2016-07-14.14:26:58,0,205,838,464,1942,0,0,1,464,464,2,-1
mcs.4_F_02,ufscc,64,spotba,22,0.120,2016-07-14.14:27:02,2,138,595,356,1663,1,1,0,356,354,2,-1
mcs.4_F_05,ufscc,64,spotba,8,0.090,2016-07-14.14:27:06,0,138,533,376,1549,0,0,1,376,376,2,-1
mcs.4_F_06,ufscc,64,spotba,22,0.220,2016-07-14.14:27:09,1171,1673,3121,2627,5894,1,694,0,2627,1181,2,-1
mcs.5_F_01,ufscc,64,spotba,8,0.120,2016-07-14.14:27:11,0,188,964,337,1773,0,0,1,337,337,2,-1
mcs.5_F_02,ufscc,64,spotba,9,0.130,2016-07-14.14:27:14,15,279,1515,510,2844,0,0,5,510,493,2,-1
mcs.5_F_05,ufscc,64,spotba,9,0.160,2016-07-14.14:27:17,0,248,1237,468,2401,0,0,1,468,468,2,-1
mcs.6_F_01,ufscc,64,spotba,8,0.100,2016-07-14.14:27:23,0,119,610,301,1584,0,0,1,301,301,2,-1
mcs.6_F_02,ufscc,64,spotba,9,0.220,2016-07-14.14:27:27,95,628,2767,837,4026,2,7,5,837,754,2,-1
mcs.6_F_06,ufscc,64,spotba,27,0.280,2016-07-14.14:27:32,676,1728,4973,1975,6623,1,87,3,1975,1357,2,-1
peterson.1_F_01,ufscc,64,spotba,19,0.140,2016-07-14.14:27:34,0,495,1330,1051,3017,0,0,1,1051,1051,2,-1
peterson.1_F_02,ufscc,64,spotba,27,0.270,2016-07-14.14:27:36,315,1248,3028,2394,5942,0,517,2,2394,1680,2,-1
peterson.1_F_05,ufscc,64,spotba,39,0.180,2016-07-14.14:27:38,0,784,1983,1294,3488,0,0,1,1294,1294,2,-1
peterson.1_F_08,ufscc,64,spotba,47,0.360,2016-07-14.14:27:40,300,2472,6140,3325,8573,0,400,18,3324,2818,3,-1
peterson.2_F_01,ufscc,64,spotba,19,0.170,2016-07-14.14:27:42,0,636,1960,1100,3428,0,0,1,1100,1100,2,-1
peterson.2_F_02,ufscc,64,spotba,27,0.240,2016-07-14.14:27:45,49,1037,3121,1579,4781,0,15,3,1579,1521,2,-1
peterson.2_F_05,ufscc,64,spotba,27,0.130,2016-07-14.14:27:47,0,485,1488,1048,3249,0,0,1,1048,1048,2,-1
peterson.2_F_07,ufscc,64,spotba,48,0.420,2016-07-14.14:27:49,31,2013,5882,2581,7577,0,4,60,2581,2540,3,-1
peterson.2_F_08,ufscc,64,spotba,26,0.220,2016-07-14.14:27:51,4,925,3040,1611,6172,0,0,18,1611,1607,3,-1
peterson.2_F_09,ufscc,64,spotba,53,0.330,2016-07-14.14:27:54,0,3110,25672,3675,30621,0,0,174,3675,3675,2,-1
peterson.3_F_01,ufscc,64,spotba,13,0.160,2016-07-14.14:27:56,0,340,1093,697,2281,0,0,1,697,697,2,-1
peterson.3_F_02,ufscc,64,spotba,23,0.130,2016-07-14.14:27:58,0,313,1110,639,2318,0,0,3,639,639,2,-1
peterson.3_F_05,ufscc,64,spotba,17,0.110,2016-07-14.14:28:00,0,295,950,665,2176,0,0,1,665,665,2,-1
peterson.3_F_07,ufscc,64,spotba,30,0.170,2016-07-14.14:28:02,2,1033,3337,1498,4865,0,0,16,1498,1496,3,-1
peterson.3_F_08,ufscc,64,spotba,25,0.200,2016-07-14.14:28:05,22,815,2744,1136,4227,0,0,6,1136,1114,3,-1
peterson.3_F_09,ufscc,64,spotba,30,0.310,2016-07-14.14:28:07,0,1263,10882,1661,14758,0,0,64,1661,1661,2,-1
peterson.4_F_01,ufscc,64,spotba,55,0.360,2016-07-14.14:28:10,0,1783,6063,2058,7214,0,0,3,2058,2058,2,-1
