model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
elevator2.3_F_002,ufscc,64,spotba,233,0.600,2016-07-15.07:38:57,355,4394,23202,8119,31547,0,31,10,8114,7747,5,-1
elevator2.3_F_003,ufscc,64,spotba,32,0.870,2016-07-15.07:39:00,2141948,2142692,11399294,2369840,13723169,0,10328094,2,2369840,3035,22,-1
elevator2.3_F_005,ufscc,64,spotba,270,0.610,2016-07-15.07:39:07,9255,15649,55723,19636,67764,0,22014,362,19608,9661,9,-1
elevator2.3_F_006,ufscc,64,spotba,246,0.550,2016-07-15.07:39:11,4714,8922,32670,10319,38081,0,8672,6,10319,5613,15,-1
elevator2.3_F_007,ufscc,64,spotba,33,4.070,2016-07-15.07:39:17,5359967,13028013,82579417,14214894,96937262,0,23519081,49855845,13505703,874223,9,-1
elevator2.3_F_008,ufscc,64,spotba,240,0.570,2016-07-15.07:39:20,1413,7497,42390,10325,49722,0,887,5,10325,8831,7,-1
elevator2.3_F_009,ufscc,64,spotba,236,0.510,2016-07-15.07:39:23,0,5392,19952,10305,28020,0,0,6,10302,10296,5,-1
elevator2.3_F_010,ufscc,64,spotba,11569,2.960,2016-07-15.07:39:29,5760133,10857253,110976259,10918047,111718393,0,65644327,27218671,10862517,881572,15,-1
elevator2.3_F_011,ufscc,64,spotba,225,0.460,2016-07-15.07:39:32,0,4456,16872,8254,24167,0,0,8,8254,8253,6,-1
elevator2.3_F_012,ufscc,64,spotba,10516,2.820,2016-07-15.07:39:37,8156178,12572728,127116442,12581917,127212893,0,81708596,21754526,12580838,896888,10,-1
elevator2.3_F_013,ufscc,64,spotba,32,2.710,2016-07-15.07:39:42,13848365,18606181,145472222,18617878,145581132,0,93952321,24159668,18615709,883720,5,-1
elevator2.3_F_014,ufscc,64,spotba,33,0.910,2016-07-15.07:39:45,2104465,2104527,14125684,2278737,16115482,0,12791255,11,2278736,2975,5,-1
elevator2.3_F_015,ufscc,64,spotba,225,0.540,2016-07-15.07:39:47,0,5184,19712,10664,28691,0,0,23,10662,10662,2,-1
elevator2.3_F_016,ufscc,64,spotba,33,0.800,2016-07-15.07:39:50,1466197,1466288,9665569,1675995,11663651,0,9090714,1,1675995,2989,2,-1
elevator2.3_F_017,ufscc,64,spotba,306,0.580,2016-07-15.07:39:52,6429,9333,28373,11431,34332,0,10319,7,11429,4965,13,-1
elevator2.3_F_019,ufscc,64,spotba,287,0.510,2016-07-15.07:39:57,0,4960,18053,10642,27526,0,0,10,10641,10636,2,-1
elevator2.3_F_020,ufscc,64,spotba,259,0.500,2016-07-15.07:40:00,0,5200,20085,9777,27859,0,0,4,9777,9777,5,-1
elevator2.3_F_022,ufscc,64,spotba,32,1.250,2016-07-15.07:40:06,2853471,5015115,39594517,5022727,39656896,0,20718255,7935176,5020620,729056,6,-1
elevator2.3_F_023,ufscc,64,spotba,34,0.820,2016-07-15.07:40:09,1482344,1482470,9724820,1729240,12059563,0,9266322,14,1729240,2991,11,-1
elevator2.3_F_024,ufscc,64,spotba,441,6.560,2016-07-15.07:40:18,9192367,16861281,122652548,17817117,133806068,0,59401646,49335378,17293042,889863,14,-1
elevator2.3_F_026,ufscc,64,spotba,33,0.770,2016-07-15.07:40:24,1261567,1261868,9514894,1368703,10938306,0,8863791,28,1368701,2852,7,-1
elevator2.3_F_027,ufscc,64,spotba,33,0.710,2016-07-15.07:40:27,614302,614362,3702290,713806,4661755,0,3495363,10,713806,2746,11,-1
elevator2.3_F_028,ufscc,64,spotba,244,0.500,2016-07-15.07:40:30,0,5338,19076,9609,26350,0,0,2,9609,9609,6,-1
elevator2.3_F_029,ufscc,64,spotba,231,0.480,2016-07-15.07:40:34,517,5765,20524,10564,30902,0,264,13,10561,9879,6,-1
elevator2.3_F_030,ufscc,64,spotba,33,1.530,2016-07-15.07:40:37,4885228,7088515,52230414,7095769,52291205,0,29908070,8161368,7094714,739138,4,-1
elevator2.3_F_031,ufscc,64,spotba,228,0.550,2016-07-15.07:40:40,0,4519,17380,8528,24342,0,0,7,8527,8527,2,-1
elevator2.3_F_033,ufscc,64,spotba,228,0.470,2016-07-15.07:40:45,0,4109,15633,9540,24487,0,0,24,9527,9507,2,-1
elevator2.3_F_034,ufscc,64,spotba,228,0.510,2016-07-15.07:40:47,0,6105,21437,10199,28405,0,0,5,10199,10199,8,-1
