model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
S_ERK-PT-001000_LTLS_10_F_,ndfs,1,spotba,87088507,403.750,2016-07-05.16:12:42,-1,-1,-1,87088506,518758015,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_11_F_,ndfs,1,spotba,2003,1.650,2016-07-05.16:12:44,-1,-1,-1,2002,7002,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_12_F_,ndfs,1,spotba,1004,0.800,2016-07-05.16:12:45,-1,-1,-1,1003,3006,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_13_F_,ndfs,1,spotba,1004,0.800,2016-07-05.16:12:46,-1,-1,-1,1003,3007,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_14_F_,ndfs,1,spotba,2004,1.650,2016-07-05.16:12:47,-1,-1,-1,2003,8008,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_15_F_,ndfs,1,spotba,1004,0.800,2016-07-05.16:12:48,-1,-1,-1,1003,3007,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_1_F_,ndfs,1,spotba,1004,1.060,2016-07-05.16:12:49,-1,-1,-1,1003,4008,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_2_F_,ndfs,1,spotba,1005001,7.730,2016-07-05.16:12:57,-1,-1,-1,1005000,5010004,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_3_F_,ndfs,1,spotba,1004,1.070,2016-07-05.16:12:59,-1,-1,-1,1003,4008,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_4_F_,ndfs,1,spotba,1001004,6.440,2016-07-05.16:13:05,-1,-1,-1,1001003,5001009,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_5_F_,ndfs,1,spotba,2004,1.470,2016-07-05.16:13:07,-1,-1,-1,2003,7007,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_6_F_,ndfs,1,spotba,2004,1.650,2016-07-05.16:13:08,-1,-1,-1,2003,8007,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_7_F_,ndfs,1,spotba,1004,0.780,2016-07-05.16:13:09,-1,-1,-1,1003,3007,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_8_F_,ndfs,1,spotba,1002003,5.880,2016-07-05.16:13:15,-1,-1,-1,1002002,4004502,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_9_F_,ndfs,1,spotba,1004,1.070,2016-07-05.16:13:16,-1,-1,-1,1003,4009,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-010000_LTLS_0_F_,ndfs,1,spotba,10004,2.620,2016-07-05.16:13:19,-1,-1,-1,10003,40008,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-010000_LTLS_1_F_,ndfs,1,spotba,20004,2.650,2016-07-05.16:13:22,-1,-1,-1,20003,70008,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-010000_LTLS_2_F_,ndfs,1,spotba,20003,2.630,2016-07-05.16:13:25,-1,-1,-1,20002,60003,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-010000_LTLS_3_F_,ndfs,1,spotba,10004,2.590,2016-07-05.16:13:28,-1,-1,-1,10003,40009,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-010000_LTLS_4_F_,ndfs,1,spotba,20003,2.640,2016-07-05.16:13:30,-1,-1,-1,20002,60003,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-010000_LTLS_5_F_,ndfs,1,spotba,-1,600.000,2016-07-05.16:23:31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-010000_LTLS_6_F_,ndfs,1,spotba,10004,2.530,2016-07-05.16:23:33,-1,-1,-1,10003,30009,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-010000_LTLS_7_F_,ndfs,1,spotba,10004,2.530,2016-07-05.16:23:36,-1,-1,-1,10003,30006,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-010000_LTLS_8_F_,ndfs,1,spotba,10004,2.610,2016-07-05.16:23:39,-1,-1,-1,10003,40008,-1,-1,-1,-1,-1,2,-1
