model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
bakery.1_T_07,ufscc,64,spotba,-1,0.230,2016-07-04.22:42:33,181,1641,2937,11463,20851,31,428,2674,9972,4605,3,-1
bakery.1_T_09,ufscc,64,spotba,-1,0.220,2016-07-04.22:42:35,46,1506,5043,11674,38871,40,746,5515,11033,5554,2,-1
bakery.2_F_01,ufscc,64,spotba,11,0.040,2016-07-04.22:42:37,0,73,132,699,1375,0,0,15,699,699,2,-1
bakery.2_F_02,ufscc,64,spotba,21,0.060,2016-07-04.22:42:39,21,132,237,1208,2141,0,70,4,1208,940,2,-1
bakery.2_F_05,ufscc,64,spotba,11,0.040,2016-07-04.22:42:41,0,69,125,708,1376,0,0,1,708,708,2,-1
bakery.2_F_06,ufscc,64,spotba,26,0.240,2016-07-04.22:42:43,801,1706,4085,11682,28156,1,5698,1129,11288,2647,2,-1
bakery.2_F_07,ufscc,64,spotba,30,0.080,2016-07-04.22:42:45,21,273,504,2218,4131,0,38,200,2160,1704,3,-1
bakery.2_F_08,ufscc,64,spotba,21,0.070,2016-07-04.22:42:46,39,286,573,1583,3566,0,33,82,1567,1410,3,-1
bakery.2_F_09,ufscc,64,spotba,14,0.070,2016-07-04.22:42:49,0,251,857,2017,7125,0,0,515,1948,1791,2,-1
bakery.2_T_03,ufscc,64,spotba,11,0.050,2016-07-04.22:42:50,0,85,150,765,1444,0,0,4,765,765,2,-1
bakery.2_T_04,ufscc,64,spotba,11,0.040,2016-07-04.22:42:52,2,90,178,763,1584,0,2,13,763,742,2,-1
bakery.3_F_01,ufscc,64,spotba,14,0.070,2016-07-04.22:42:53,0,294,779,860,2481,0,0,1,860,860,2,-1
bakery.3_F_05,ufscc,64,spotba,14,0.080,2016-07-04.22:42:56,0,405,1045,990,2759,0,0,1,990,990,2,-1
bakery.3_F_06,ufscc,64,spotba,46,0.390,2016-07-04.22:42:59,5408,7235,19044,17309,46837,1,13506,2,17309,2931,2,-1
bakery.3_F_08,ufscc,64,spotba,27,0.130,2016-07-04.22:43:00,24,885,2375,1504,4952,0,11,4,1504,1489,3,-1
bakery.3_T_03,ufscc,64,spotba,14,0.070,2016-07-04.22:43:03,0,341,908,921,2618,0,0,2,921,921,2,-1
bakery.3_T_04,ufscc,64,spotba,14,0.070,2016-07-04.22:43:05,1,368,1015,915,2837,0,0,6,915,913,2,-1
bakery.3_T_07,ufscc,64,spotba,-1,0.470,2016-07-04.22:43:07,6432,34228,88451,57630,153443,73,18004,51140,49313,11628,3,-1
bakery.3_T_09,ufscc,64,spotba,-1,0.470,2016-07-04.22:43:10,5123,32919,239602,55005,406932,195,53573,190908,46996,11947,2,-1
bakery.4_F_01,ufscc,64,spotba,14,0.090,2016-07-04.22:43:12,0,442,1123,1042,2840,0,0,2,1042,1042,2,-1
bakery.4_F_02,ufscc,64,spotba,27,0.120,2016-07-04.22:43:15,123,882,2064,1669,4248,0,123,3,1669,1533,2,-1
bakery.4_F_05,ufscc,64,spotba,14,0.070,2016-07-04.22:43:16,0,309,822,895,2560,0,0,1,895,895,2,-1
bakery.4_F_06,ufscc,64,spotba,225,0.510,2016-07-04.22:43:19,25264,32974,84516,52398,139278,1,45869,1728,52198,9015,2,-1
bakery.4_F_07,ufscc,64,spotba,39,0.190,2016-07-04.22:43:21,27,2029,4976,2960,7457,0,7,33,2954,2921,3,-1
bakery.4_F_08,ufscc,64,spotba,14,0.080,2016-07-04.22:43:22,0,261,842,617,2529,0,0,1,617,617,3,-1
bakery.4_F_09,ufscc,64,spotba,26,0.140,2016-07-04.22:43:24,0,1105,7708,1828,13650,0,0,52,1828,1828,2,-1
bakery.4_T_03,ufscc,64,spotba,14,0.080,2016-07-04.22:43:25,0,329,872,938,2639,0,0,3,938,938,2,-1
bakery.4_T_04,ufscc,64,spotba,14,0.080,2016-07-04.22:43:27,3,321,819,960,2850,0,0,2,960,954,2,-1
bakery.5_F_01,ufscc,64,spotba,17,0.120,2016-07-04.22:43:29,0,718,2566,1168,4389,0,0,1,1168,1168,2,-1
bakery.5_F_02,ufscc,64,spotba,96,0.500,2016-07-04.22:43:31,16548,18987,47435,20096,51274,1,24132,1,20096,3675,2,-1
bakery.5_F_05,ufscc,64,spotba,17,0.120,2016-07-04.22:43:33,0,737,2622,1225,4597,0,0,1,1225,1225,2,-1
bakery.5_F_06,ufscc,64,spotba,111,0.560,2016-07-04.22:43:35,151203,152824,453827,168482,510141,1,312267,0,168482,3153,2,-1
bakery.5_F_08,ufscc,64,spotba,152,0.550,2016-07-04.22:43:38,140822,148986,438480,153477,454993,261,276165,52,153469,9706,3,-1
bakery.5_T_03,ufscc,64,spotba,48,0.310,2016-07-04.22:43:41,0,3186,9097,3677,11009,0,0,2,3677,3677,2,-1
bakery.5_T_04,ufscc,64,spotba,96,0.380,2016-07-04.22:43:43,4051,6794,16448,7758,19705,1,4914,0,7758,3696,2,-1
bakery.5_T_07,ufscc,64,spotba,-1,1.430,2016-07-04.22:43:47,1116444,7982773,27409815,8530686,29395819,1345,3620923,16330989,8162923,400187,3,-1
bakery.5_T_09,ufscc,64,spotba,-1,2.100,2016-07-04.22:43:51,1000072,7866401,102226606,8436651,109820148,5380,15524064,80651938,8022873,397679,2,-1
bakery.6_F_01,ufscc,64,spotba,17,0.120,2016-07-04.22:43:53,0,767,2648,1181,4315,0,0,1,1181,1181,2,-1
bakery.6_F_02,ufscc,64,spotba,23,0.180,2016-07-04.22:43:55,7,1199,4110,1653,6069,0,0,5,1653,1646,2,-1
bakery.6_F_05,ufscc,64,spotba,17,0.120,2016-07-04.22:43:58,0,742,2551,1229,4481,0,0,1,1229,1229,2,-1
bakery.6_F_06,ufscc,64,spotba,185,0.590,2016-07-04.22:44:01,638068,641091,1632963,727262,1943083,1,1101486,160,727262,4826,2,-1
bakery.6_F_07,ufscc,64,spotba,55,0.320,2016-07-04.22:44:04,1,3448,10001,3966,12037,0,0,37,3966,3961,3,-1
bakery.6_F_08,ufscc,64,spotba,33,0.220,2016-07-04.22:44:06,0,1500,5491,1917,8424,0,0,4,1917,1917,3,-1
bakery.6_F_09,ufscc,64,spotba,58,0.340,2016-07-04.22:44:10,0,3881,42682,4410,50883,0,0,256,4410,4409,2,-1
bakery.6_T_03,ufscc,64,spotba,17,0.110,2016-07-04.22:44:12,0,600,2189,1063,4069,0,0,1,1063,1063,2,-1
bakery.6_T_04,ufscc,64,spotba,17,0.140,2016-07-04.22:44:14,0,889,2972,1374,5170,0,0,2,1374,1374,2,-1
bakery.7_F_01,ufscc,64,spotba,17,0.120,2016-07-04.22:44:15,0,724,2549,1169,4363,0,0,2,1169,1169,2,-1
bakery.7_F_02,ufscc,64,spotba,208,0.580,2016-07-04.22:44:18,551677,557760,1759902,602847,1920529,1,1239026,5,602847,8099,2,-1
bakery.7_F_05,ufscc,64,spotba,17,0.120,2016-07-04.22:44:20,0,597,2185,1033,3982,0,0,1,1033,1033,2,-1
bakery.7_F_06,ufscc,64,spotba,191,0.570,2016-07-04.22:44:22,356007,362768,1058160,388346,1151964,1,703673,3,388346,7981,2,-1
bakery.7_F_08,ufscc,64,spotba,33,0.200,2016-07-04.22:44:25,0,1405,4993,1834,7619,0,0,2,1834,1834,3,-1
bakery.7_T_03,ufscc,64,spotba,17,0.120,2016-07-04.22:44:27,0,670,2444,1114,4270,0,0,1,1114,1114,2,-1
bakery.7_T_04,ufscc,64,spotba,17,0.130,2016-07-04.22:44:28,0,743,2622,1198,4715,0,0,1,1198,1198,2,-1
bakery.7_T_07,ufscc,64,spotba,-1,4.830,2016-07-04.22:44:36,2325994,29475968,102138285,31771156,110595007,2618,7962007,66945125,30046236,1678021,3,-1
bakery.7_T_09,ufscc,64,spotba,-1,7.000,2016-07-04.22:44:45,1897497,29047471,379826941,31406190,411893000,10484,31516052,326741188,29592227,1758852,2,-1
bakery.8_F_01,ufscc,64,spotba,20,0.180,2016-07-04.22:44:47,0,1043,4793,1332,6301,0,0,1,1332,1332,2,-1
bakery.8_F_02,ufscc,64,spotba,63,0.400,2016-07-04.22:44:50,870,4144,13798,4525,15722,1,697,1,4525,3773,2,-1
bakery.8_F_05,ufscc,64,spotba,20,0.180,2016-07-04.22:44:53,0,891,4201,1295,6276,0,0,1,1295,1295,2,-1
bakery.8_F_06,ufscc,64,spotba,71,0.680,2016-07-04.22:44:56,788360,790567,2721971,793540,2735059,1,1925130,0,793540,3673,2,-1
bakery.8_F_08,ufscc,64,spotba,304,1.210,2016-07-04.22:44:59,10024388,10030960,38692762,10068867,38867921,1946,28711367,2,10068867,9195,3,-1
bakery.8_T_03,ufscc,64,spotba,170,0.680,2016-07-04.22:45:02,831057,839325,3095606,853245,3154344,637,2260061,2,853245,9784,2,-1
bakery.8_T_04,ufscc,64,spotba,59,0.340,2016-07-04.22:45:05,195,3147,11508,3460,13783,1,101,0,3460,3312,2,-1
bakery.8_T_07,ufscc,64,spotba,-1,35.940,2016-07-04.22:45:43,73178378,254563897,1080104674,258150751,1096022030,10950,276063864,553278663,255514009,2753587,3,-1
bakery.8_T_09,ufscc,64,spotba,-1,69.760,2016-07-04.22:46:55,71745683,253131202,857716863,257043194,5233507691,54735,1576765820,-955583642,253953418,2738333,2,-1
bopdp.1_F_01,ufscc,64,spotba,19,0.100,2016-07-04.22:46:57,0,409,1402,1691,5352,0,0,1,1691,1691,2,-1
bopdp.1_F_03,ufscc,64,spotba,27,0.110,2016-07-04.22:47:02,0,684,2346,2267,7052,0,0,1,2267,2267,2,-1
bopdp.1_F_05,ufscc,64,spotba,27,0.100,2016-07-04.22:47:05,0,623,1023,2097,3307,0,0,1,2097,2097,2,-1
bopdp.1_F_07,ufscc,64,spotba,19,0.080,2016-07-04.22:47:08,0,372,650,1565,2528,0,0,1,1565,1565,2,-1
bopdp.1_T_02,ufscc,64,spotba,-1,0.620,2016-07-04.22:47:11,12092,12642,48082,76298,331140,32,113310,2866,75443,4968,3,-1
bopdp.1_T_04,ufscc,64,spotba,-1,0.600,2016-07-04.22:47:15,12092,12642,24413,81890,182700,22,49791,1283,80823,5062,3,-1
bopdp.1_T_06,ufscc,64,spotba,-1,0.610,2016-07-04.22:47:18,12092,12642,24706,76132,169344,14,48483,1087,75251,5308,3,-1
bopdp.1_T_08,ufscc,64,spotba,-1,0.680,2016-07-04.22:47:24,18716,19640,37094,115774,247697,2,73819,2013,114313,7057,3,-1
bopdp.2_F_01,ufscc,64,spotba,2,0.020,2016-07-04.22:47:26,0,4,14,160,640,64,0,0,160,160,2,-1
bopdp.2_F_03,ufscc,64,spotba,2,0.010,2016-07-04.22:47:29,0,4,14,159,642,66,0,0,159,159,2,-1
bopdp.2_F_05,ufscc,64,spotba,2,0.010,2016-07-04.22:47:31,0,5,8,173,367,33,0,0,173,173,2,-1
bopdp.2_F_07,ufscc,64,spotba,2,0.020,2016-07-04.22:47:34,0,4,7,163,349,29,0,0,163,163,2,-1
